"Instruction","Response","Category"
"অবিনাশবাবু কোনটি পেয়েছিলেন?","একটি নীল রঙের খাম","Factual"
"কেন মানুষ মরে গেলে পচে যায়?","কারণ জীবনের সীমাবদ্ধতা এবং প্রাকৃতিক নিয়মের কারণে","Causal"
"গল্পগুলো আমাদের কী শিক্ষা দেয়?","গল্পগুলো আমাদের জীবনের ছোট ছোট মুহূর্তের গুরুত্ব এবং প্রতিটি মুহূর্তে নতুন অনুভূতির সন্ধান করার গুরুত্ব সম্পর্কে শিক্ষা দেয়।","Reasoning"
"রাজু কি পাহাড়ের গুহায় পেয়েছিল?","একটি অদ্ভুত আলো","Factual"
"কীভাবে পথেক সাহায্য করত?","চুপচুপে মানুষের সাহায্য করে","Causal"
"হুমায়ূন আহমদের মতে, মানুষের জীবন কিসের সমষ্টি?","গল্পের সমষ্টি","Factual"
"অবিনাশবাবু কি সিদ্ধান্ত নিয়েছিলেন?","তিনি আবার কলম ধরবেন","Factual"
"কেন মানুষ বেঁচে থাকলে বদলে যায়?","কারণ জীবনের অভিজ্ঞতা এবং পরিবর্তনের কারণে","Causal"
"গল্পগুলোর মূল বার্তাটি কী?","জীবনের ছোট ছোট মুহূর্তের গুরুত্ব এবং প্রতিটি মুহূর্তে নতুন অনুভূতির সন্ধান করা","Reasoning"
"পাহাড়ের গুহায় আসলে কি ছিল?","একটি বিরাট মেলা","Factual"
"হুমায়ূন আহমদের প্রদত্ত লেখার ৫০ পৃষ্ঠার মধ্যে কোন পৃষ্ঠায় গল্প সংখ্যা ৫ অবস্থিত?","গল্প সংখ্যা ৫ অবস্থিত ৪ পৃষ্ঠায়।","Factual"
"পুরান ঘড়ের ভিতরে একটি ছোট চিরকুট লুকানো ছিল কেন?","পুরান ঘড়ের ভিতরে একটি ছোট চিরকুট লুকানো ছিল কারণ ঘড়ি মেরামত করার সময় তা খুঁজে পাওয়া যায়।","Causal"
"লেখকের মতে মানুষের জীবন কিসের সমষ্টি?","লেখকের মতে মানুষের জীবন গল্পের সমষ্টি মাত্র।","Reasoning"
"অচিনা পথিক কি গ্রামের সবাইকে অবাক করে দিয়েছিল?","হ্যাঁ, অচিনা পথিক গ্রামের সবাইকে অবাক করে দিয়েছিল একটি সানার ঘড় ফেলে দিয়ে।","Factual"
"মানুষ মরে গেলে কি হয় এবং বেঁচে থাকলে কি হয়?","মানুষ মরে গেলে পচে যায়, বেঁচে থাকলে বদলে যায়, কারণে-অকারণে বদলে যায়।","Causal"
"অবিনাশবাবু কেন আবার কলম ধরার সিদ্ধান্ত নিলেন?","অবিনাশবাবু আবার কলম ধরার সিদ্ধান্ত নিলেন কারণ একটি পুরানা চিঠি পড়ার পর তার লেখক হওয়ার ইচ্ছা আবার জাগ্রত হয়।","Reasoning"
"গল্পগুলো আমাদের কি শিক্ষা দেয়?","গল্পগুলো আমাদের জীবনের ছোট ছোট মুহূর্তের গুরুত্ব মনে করিয়ে দেয়।","Factual"
"বৃষ্টির গানে কোন প্রাণীর উল্লেখ আছে?","বৃষ্টির গানে একটি ছোট বিড়াল ছানার উল্লেখ আছে।","Factual"
"পুরান ঘড়িতে কি লেখা ছিল?","পুরান ঘড়িতে লেখা ছিল, 'সময়ে কখনো থেমে থেকো না, স্মৃতিগুলা আগলে রাখো'।","Factual"
"লেখকের মতে প্রতিটি পাতায় আমরা কি খুঁজি?","লেখকের মতে প্রতিটি পাতায় আমরা নতুন অনুভূতির সন্ধান করি।","Reasoning"
"হুমায়ূন আহমদের প্রদত্ত গল্পগুলোতে জীবনের ছোট মুহূর্তের গুরুত্ব কীভাবে ফুটে উঠেছে?","হুমায়ূন আহমদের প্রদত্ত গল্পগুলোতে জীবনের ছোট মুহূর্তের গুরুত্ব ফুটে উঠেছে এইভাবে যে, প্রতিটি গল্পে তিনি জীবনের ছোট ছোট মুহূর্তগুলোর গুরুত্ব তুলে ধরেছেন।","Factual"
"গল্পগুলোতে মানুষের জীবনকে কীভাবে উপস্থাপন করা হয়েছে?","গল্পগুলোতে মানুষের জীবনকে গল্পের সমষ্টি হিসেবে উপস্থাপন করা হয়েছে।","Factual"
"হুমায়ূন আহমদের মতে, মানুষের জীবন মৃত্যুর পর কী হয়?","হুমায়ূন আহমদের মতে, মানুষ মরে গেলে পচে যায়, বেঁচে থাকলে বদলে যায়, কারনে-অকারনে বদলে যায়।","Factual"
"রাজু গুহার ভিতরে কী দেখেছিল?","রাজু গুহার ভিতরে একটি অদ্ভুত আলো দেখেছিল।","Factual"
"ঘড়বিয়াবু ঘড়টির ভিতরে কী দেখেছিলেন?","ঘড়বিয়াবু ঘড়টির ভিতরে একটি ছোট চিরকুট লুকানো ছিল।","Factual"
"মানুষের জীবনকে কি গল্পের সমষ্টি হিসেবে বিবেচনা করা যায়?","হ্যাঁ, মানুষের জীবনকে গল্পের সমষ্টি হিসেবে বিবেচনা করা যায়।","Reasoning"
"পুরানা ঘড়ের ভিতরে থাকা চিরকুটে কী লেখা ছিল?","পুরানা ঘড়ের ভিতরে থাকা চিরকুটে লেখা ছিল, 'সময়ে কখনো থেমে থেকো না, স্মৃতিগুলা আগলে রাখো'।","Factual"
"অচিনা পথিক কেন গ্রামের সবাইকে সাহায্য করত?","অচিনা পথিক একটি ধনী সমাজসেবী ছিল, যে চুপচুপ মানুষের সাহায্য করতে ভালোবাসত।","Causal"
"হুমায়ূন আহমদের গল্পগুলো থেকে কী শিক্ষা পাওয়া যায়?","হুমায়ূন আহমদের গল্পগুলো থেকে আমরা শিক্ষা পাই যে, জীবনের ছোট ছোট মুহূর্তগুলো খুবই গুরুত্বপূর্ণ।","Reasoning"
