"Instruction","Response","Category"
"ডাইনািমকেɓাȄািমংএহােতখিড় তাসমীমেরজা মামনুনিসয়াম Ȣাফ্ ট২৪জুলাই২০২১ অধয্ায়1 িকছুʨটেফাসর্, বয্াকȟয্ািকংএবংিবটমাʅ িȟকস সরাসিরডাইনািমকেɓাȄািমংশুরুনাকেরআমরােযেকােনািকছুʨটেফাসρκেরিকভােবসমাধানকরা যায়তােদখাযাক। এখানে কোন ডাটাটাইপের সাইজ কত?","int ডাটাটাইেপ ৩২টািবটেʇারথােক।","Factual"
"কেন int ডাটাটাইেপ 59 নাɣারিটএইভােবেʇারথােকঃ 00000000000000000000000000111011?","শুরুরিদেকসব০থাকারকারণহেȎ, যিদও৫৯েকবাইনািরেতɓকাশকরেতআমােদরঐিবটগুেলা দরকারহেȎ না, তারপরওেযেহতুint ডাটাটাইপ৩২-িবেটর, তাইঐিবটগুেলােত০েসভরাখা হেȎ।","Causal"
"ডাইনািমকেɓাȄািমংএহােতখিড় তাসমীমেরজা মামনুনিসয়াম Ȣাফ্ ট২৪জুলাই২০২১ অধয্ায়1 িকছুʨটেফাসর্, বয্াকȟয্ািকংএবংিবটমাʅ িȟকস সরাসিরডাইনািমকেɓাȄািমংশুরুনাকেরআমরােযেকােনািকছুʨটেফাসρκেরিকভােবসমাধানকরা যায়তােদখাযাক। এখানে কিɡউটারিকভােবসংখয্ােʇাররােখ?","int ডাটাটাইেপ59 নাɣারিটএইভােবেʇারথােকঃ 00000000000000000000000000111011","Factual"
"দুইটি সংখ্যার মধ্যে পার্থক্য বের করার জন্য কিɡউটার কি ব্যবহার করা হয়?","দুইটি সংখ্যার মধ্যে পার্থক্য বের করার জন্য কিɡউটার 2’s Complement ব্যবহার করা হয়।","Factual"
"কিɡউটার সংখ্যা বাইনািরেত দশমিক সংখ্যায় রূপান্তর করার জন্য কোন ফরমুলা ব্যবহার করা হয়?","bu−12u−1 + . . . + b222 + b121 + b020।","Factual"
"কিɡউটার সংখ্যার 2’s Complement বের করার উদ্দেশ্য কি?","কিɡউটার সংখ্যার 2’s Complement বের করার উদ্দেশ্য হলো ঋণাত্মক সংখ্যা বের করা।","Causal"
"ডাইনািমকেɓাȄািমংএহােতখিড় তাসমীমেরজা মামনুনিসয়াম Ȣাফ্ ট২৪জুলাই২০২১ অধয্ায়1 িকছুʨটেফাসর্, বয্াকȟয্ািকংএবংিবটমাʅ িȟকস সরাসিরডাইনািমকেɓাȄািমংশুরুনাকেরআমরােযেকােনািকছুʨটেফাসρκেরিকভােবসমাধানকরা যায়তােদখাযাক। এখানে And অপােরশন কিভাবে কাজ করে?","And অপােরশন দুেটাসংখয্াx আরy এরand অপােরশনx & y এমনএকটাসংখয্ােবরকরেবেযটারবাইনািরেত i-তমিবটঅনথাকেবযিদওেকবলযিদx আরy উভেয়রi-তমিবটঅনথােক।","Factual"
"কিɡউটার সংখ্যার মধ্যে পার্থক্য বের করার জন্য 2’s Complement ব্যবহার করা হয় কেন?","কিɡউটার সংখ্যার মধ্যে পার্থক্য বের করার জন্য 2’s Complement ব্যবহার করা হয় কারণ এটি ঋণাত্মক সংখ্যা বের করতে সাহায্য করে।","Causal"
"ডাইনািমকেɓাȄািমংএহােতখিড় তাসমীমেরজা মামনুনিসয়াম Ȣাফ্ ট২৪জুলাই২০২১ অধয্ায়1 িকছুʨটেফাসর্, বয্াকȟয্ািকংএবংিবটমাʅ িȟকস সরাসিরডাইনািমকেɓাȄািমংশুরুনাকেরআমরােযেকােনািকছুʨটেফাসρκেরিকভােবসমাধানকরা যায়তােদখাযাক। এখানে কিɡউটার সংখ্যার 2’s Complement বের করার ফলে কি হয়?","কিɡউটার সংখ্যার 2’s Complement বের করার ফলে ঋণাত্মক সংখ্যা বের হয় এবং সংখ্যার মধ্যে পার্থক্য বের করা সহজ হয়।","Reasoning"
"ডাইনািমকেɓাȄািমংএহােতখিড় তাসমীমেরজা মামনুনিসয়াম Ȣাফ্ ট২৪জুলাই২০২১ অধয্ায়1 িকছুʨটেফাসর্, বয্াকȟয্ািকংএবংিবটমাʅ িȟকস সরাসিরডাইনািমকেɓাȄািমংশুরুনাকেরআমরােযেকােনািকছুʨটেফাসρκেরিকভােবসমাধানকরা যায়তােদখাযাক। এখানে And অপােরশন এবং Or অপােরশনের মধ্যে পার্থক্য কি?","And অপােরশন দুেটাসংখয্াx আরy এরand অপােরশনx & y এমনএকটাসংখয্ােবরকরেবেযটারবাইনািরেত i-তমিবটঅনথাকেবযিদওেকবলযিদx আরy উভেয়রi-তমিবটঅনথােক। Or অপােরশন দুেটাসংখয্াx আরy এরor অপােরশনx | y এমনএকটাসংখয্ােবরকরেবেযটারবাইনািরেত i-তমিবটঅনথাকেবযিদওেকবলযিদx অথবাy এরi-তমিবটঅনথােক।","Factual"
